Symbol,Price Average,Volume Average,Price Annual Average Growth Rate,Volume Annual Average Growth Rate,Name,Sector,Marketcap,Rank,Marketcap %
FE,36.7846,4189295.8654,1.4566,3.6321,FirstEnergy Corp.,Utilities,21777526784,335.0,0.04532096893123
VLTO,73.8826,2309876.017,22.705,-51.8505,Veralto Corporation,Industrials,21775607808,336.0,0.045316975371599996
ULTA,311.4374,927404.9672,15.8695,0.8713,"Ulta Beauty, Inc.",Consumer Cyclical,21766770688,337.0,0.0452985845394
PTC,93.3382,917437.7391,21.9057,0.2895,PTC Inc.,Technology,21748899840,338.0,0.04526139371626
WRB,45.2871,1154246.577,14.9821,1.065,W. R. Berkley Corporation,Financial Services,21532157952,339.0,0.044810334582250005
ARE,133.6766,787936.5887,4.2595,12.567,"Alexandria Real Estate Equities, Inc.",Real Estate,21476126720,340.0,0.04469372860812
BAX,60.2238,4062812.1976,2.9408,-1.9961,Baxter International Inc.,Healthcare,21392574464,341.0,0.04451984893685
INVH,29.7592,3334269.5599,7.2289,11.099,Invitation Homes Inc.,Real Estate,21338976256,342.0,0.04440830630193
NTAP,59.9857,2561071.659,16.2866,-5.755,"NetApp, Inc.",Technology,21174278144,343.0,0.04406555489168
CTRA,23.5906,7204592.5259,0.7647,2.359,Coterra Energy Inc.,Energy,21171351552,344.0,0.0440594643936
BALL,56.4696,2296815.4574,8.4018,0.0271,Ball Corporation,Consumer Cyclical,21020530688,345.0,0.04374559276991
ILMN,244.5809,1289990.7285,0.4032,4.1053,"Illumina, Inc.",Healthcare,20889479168,346.0,0.04347286290829
DECK,259.4242,558649.3752,35.8202,-6.5039,Deckers Outdoor Corporation,Consumer Cyclical,20794578944,347.0,0.04327536710695
TSN,64.9422,2925783.1411,5.0071,-1.4505,"Tyson Foods, Inc.",Consumer Defensive,20767211520,348.0,0.04321841306505
ES,68.7155,1855500.2635,2.5137,9.8086,Eversource Energy,Utilities,20717445120,349.0,0.04311484476317
GPC,113.1798,840827.7935,5.9441,3.8526,Genuine Parts Company,Consumer Cyclical,20673642496,350.0,0.043023687609230005
STE,145.8357,530125.7969,14.8103,-4.1507,STERIS plc,Healthcare,20672878592,351.0,0.04302209785711
APTV,89.4211,2139547.6388,6.0443,4.1558,Aptiv PLC,Consumer Cyclical,20437291008,352.0,0.04253181915462
WBD,23.7252,10359904.1188,-8.6051,30.9138,"Warner Bros. Discovery, Inc.",Communication Services,20298219520,353.0,0.04224239902673
MKC,68.252,1627358.4276,7.1893,6.4512,"McCormick & Company, Incorporated",Consumer Defensive,20073046016,354.0,0.04177379295038
WAT,231.9173,479924.3742,12.4838,0.0778,Waters Corporation,Healthcare,19960156160,355.0,0.041538859125839996
PPL,30.4909,5027875.2506,-1.6668,4.0789,PPL Corporation,Utilities,19859476480,356.0,0.04132933576285
FSLR,84.2232,2193391.439,17.2106,1.6412,"First Solar, Inc.",Technology,19833069568,357.0,0.04127438063181
HBAN,12.7555,12541747.1808,3.6908,9.6666,Huntington Bancshares Incorporated,Financial Services,19769901056,358.0,0.04114292134361
CCL,36.1314,21867875.8553,-6.7215,111.6536,Carnival Corporation & plc,Consumer Cyclical,19584499712,359.0,0.04075708466736
K,61.8199,2556725.2002,-0.8799,6.1966,Kellanova,Consumer Defensive,19483680768,360.0,0.04054727148361
JBHT,132.8901,849963.3301,11.4155,-1.1014,"J.B. Hunt Transport Services, Inc.",Industrials,19439650816,361.0,0.0404556412399
AEE,68.3761,1552018.5975,6.7291,2.0708,Ameren Corporation,Utilities,19263416320,362.0,0.04008888158914
COO,71.9581,1440804.6877,10.5385,-5.219,"The Cooper Companies, Inc.",Healthcare,19179954176,363.0,0.03991518944895
PFG,60.8496,1443148.8064,7.0278,1.9356,"Principal Financial Group, Inc.",Financial Services,19110639616,364.0,0.03977093968857
TDY,281.2617,218314.1037,18.9617,1.3832,Teledyne Technologies Incorporated,Technology,19070025728,365.0,0.03968641857768
HRL,39.5151,2455910.5928,1.9536,8.9248,Hormel Foods Corporation,Consumer Defensive,19043112960,366.0,0.03963041071533
CBOE,108.4329,783389.1953,14.1264,7.4486,"Cboe Global Markets, Inc.",Financial Services,19004760064,367.0,0.03955059492976
VRSN,159.1128,739523.621,13.975,-4.0164,"VeriSign, Inc.",Technology,19000479744,368.0,0.03954168720338
CINF,89.1637,699873.917,9.6199,8.2042,Cincinnati Financial Corporation,Financial Services,18934296576,369.0,0.03940395414809
DRI,109.9708,1577206.4387,13.9986,1.3339,"Darden Restaurants, Inc.",Consumer Cyclical,18608066560,370.0,0.03872504048786
STX,58.9148,3541292.8311,9.9822,-2.713,Seagate Technology Holdings plc,Technology,18434873344,371.0,0.0383646100111
TXT,56.7335,1515974.2344,11.1233,-4.1675,Textron Inc.,Industrials,18399893504,372.0,0.03829181385488
HOLX,55.1599,2188675.7605,8.9815,-1.1477,"Hologic, Inc.",Healthcare,18217549824,373.0,0.0379123404492
J,90.3284,882566.4036,14.8002,-4.5097,Jacobs Solutions Inc.,Industrials,18136465408,374.0,0.03774359657232
OMC,76.6438,1838678.2394,2.7964,2.9713,Omnicom Group Inc.,Communication Services,18095073280,375.0,0.03765745587482
RF,16.0119,12114734.1092,10.7585,-5.5787,Regions Financial Corporation,Financial Services,18089619456,376.0,0.03764610598231
CLX,148.2952,1195311.4311,3.824,7.6673,The Clorox Company,Consumer Defensive,17917181952,377.0,0.03728724820939
EXPE,123.5016,2456300.7386,6.9703,5.8137,"Expedia Group, Inc.",Consumer Cyclical,17908242432,378.0,0.03726864427368
IEX,158.603,396727.4664,13.2839,1.6728,IDEX Corporation,Industrials,17892122624,379.0,0.03723509752043
CE,108.9672,953651.2911,12.0417,-1.364,Celanese Corporation,Basic Materials,17857890304,380.0,0.03716385701977
DPZ,291.8421,695270.0314,18.2913,3.9593,"Domino's Pizza, Inc.",Consumer Cyclical,17652279296,381.0,0.03673596223641
TYL,288.3412,242574.7743,15.1221,4.3314,"Tyler Technologies, Inc.",Technology,17478379520,382.0,0.036374061345480005
LH,163.8756,903290.7401,9.9884,-4.7205,Laboratory Corporation of America Holdings,Healthcare,17428363264,383.0,0.036269973071049996
NTRS,88.884,1197740.052,2.8203,4.5292,Northern Trust Corporation,Financial Services,17425264640,384.0,0.036263524559089995
CMS,53.0216,2191028.6604,6.3314,0.9913,CMS Energy Corporation,Utilities,17361649664,385.0,0.03613113613962
ATO,94.1508,755801.3149,8.8419,7.1539,Atmos Energy Corporation,Utilities,17358667776,386.0,0.03612493056565
AVY,132.2613,606368.6345,16.5087,-5.7074,Avery Dennison Corporation,Consumer Cyclical,17353756672,387.0,0.0361147101217
CNP,25.76,4558403.3596,5.2405,4.5205,"CenterPoint Energy, Inc.",Utilities,17327865856,388.0,0.0360608290323
BBY,70.3827,3530965.1661,11.5679,-3.6873,"Best Buy Co., Inc.",Consumer Cyclical,17206788096,389.0,0.03580885545176
VTR,56.1477,2388353.8987,-3.3981,4.2858,"Ventas, Inc.",Real Estate,17064389632,390.0,0.0355125115911
LDOS,79.1508,955484.2736,11.7963,30.4447,"Leidos Holdings, Inc.",Technology,17042981888,391.0,0.03546796017301
SYF,33.6952,5951488.327,4.9962,3.5138,Synchrony Financial,Financial Services,16859615232,392.0,0.03508635786334
PKG,115.0709,805420.2021,11.6383,-3.904,Packaging Corporation of America,Consumer Cyclical,16857747456,393.0,0.03508247085547
EXPD,83.1737,1258573.921,12.0963,-0.584,"Expeditors International of Washington, Inc.",Industrials,16787597312,394.0,0.03493648217051
MRO,17.7115,16050467.475,11.2354,16.9679,Marathon Oil Corporation,Energy,16745366528,395.0,0.034848596155329994
LUV,44.3131,7243569.0546,-1.2291,16.249,Southwest Airlines Co.,Industrials,16727208960,396.0,0.03481080864239
EQT,29.5644,5844757.8879,4.8427,13.8844,EQT Corporation,Energy,16619588608,397.0,0.03458684112405
L,51.1433,1010257.8242,8.1107,-3.6717,Loews Corporation,Financial Services,16615427072,398.0,0.034578180597730004
SWKS,105.4684,2362150.4579,5.674,-3.965,"Skyworks Solutions, Inc.",Technology,16488931328,399.0,0.03431493171091
TER,67.4137,2047909.7934,23.8716,-0.336,"Teradyne, Inc.",Technology,16473061376,400.0,0.034281904930189996
JBL,50.7421,1603082.8049,24.3531,-2.7116,Jabil Inc.,Technology,16444607488,401.0,0.03422268986015
FDS,292.2001,286975.4268,12.8964,-1.8596,FactSet Research Systems Inc.,Financial Services,16339100672,402.0,0.034003120798079996
MAS,45.7141,2884069.7389,13.0612,-5.9267,Masco Corporation,Industrials,16260411392,403.0,0.03383936141211
ENPH,77.7042,2874611.1028,92.0043,31.4429,"Enphase Energy, Inc.",Technology,16236777472,404.0,0.0337901771239
ESS,252.1759,399377.9752,1.756,5.4033,"Essex Property Trust, Inc.",Real Estate,16217513984,405.0,0.03375008809313
EG,257.7731,320520.2942,9.1054,4.8695,"Everest Group, Ltd.",Financial Services,16122338304,406.0,0.033552019043370004
AKAM,84.7999,1777642.1404,7.242,1.3493,"Akamai Technologies, Inc.",Technology,15992164352,407.0,0.033281115478760004
MAA,123.8829,680756.4885,7.1463,9.6006,"Mid-America Apartment Communities, Inc.",Real Estate,15936848896,408.0,0.03316599909811
NRG,32.9367,4210822.241,15.8612,-3.0772,"NRG Energy, Inc.",Utilities,15714234368,409.0,0.03270271847827
NDSN,166.201,254720.4064,15.5021,-0.5597,Nordson Corporation,Industrials,15543123968,410.0,0.03234662252673
WBA,56.2966,7088320.9711,-12.7588,15.9495,"Walgreens Boots Alliance, Inc.",Healthcare,15540016128,411.0,0.032340154835450004
CFG,33.9654,5312964.1941,6.0974,4.7152,"Citizens Financial Group, Inc.",Financial Services,15498471424,412.0,0.03225369661373
SNA,191.3235,446690.1942,8.0253,0.0655,Snap-on Incorporated,Industrials,15433038848,413.0,0.03211752560711
EPAM,220.7778,437115.4946,23.3718,7.0892,"EPAM Systems, Inc.",Technology,15427799040,414.0,0.032106621100919996
ZBRA,226.2273,440784.1179,19.8889,2.4051,Zebra Technologies Corporation,Technology,15414624256,415.0,0.03207920320438
CF,54.0362,3141174.3854,10.708,2.4436,"CF Industries Holdings, Inc.",Basic Materials,15185156096,416.0,0.031601659567160004
BG,76.4829,1346422.3357,4.9236,7.375,Bunge Global SA,Consumer Defensive,15175624704,417.0,0.03158182389321
TRMB,45.753,1323296.5522,13.5351,-0.1459,Trimble Inc.,Technology,15114664960,418.0,0.03145496124754
ALB,125.6591,1693563.8098,18.3991,13.7424,Albemarle Corporation,Basic Materials,15002065920,419.0,0.031220632636949998
POOL,243.6268,304475.6114,22.9373,7.9663,Pool Corporation,Industrials,14676484096,420.0,0.030543067921890002
CAG,33.164,4278714.3276,0.2119,4.7225,"Conagra Brands, Inc.",Consumer Defensive,14628727808,421.0,0.030443682841750003
DGX,110.1814,1134468.4895,7.7726,-1.3527,Quest Diagnostics Incorporated,Healthcare,14617190400,422.0,0.0304196724702
HST,17.6206,7934539.6912,1.5097,-0.0517,"Host Hotels & Resorts, Inc.",Real Estate,14372547584,423.0,0.02991054902504
TAP,65.8673,1857135.1478,-0.6078,0.8381,Molson Coors Beverage Company,Consumer Defensive,14312987648,424.0,0.029786599504250003
SWK,127.7978,1321863.4595,1.4908,4.9399,"Stanley Black & Decker, Inc.",Industrials,14289930240,425.0,0.029738614988739996
NWS,17.0496,788547.7633,9.0922,-1.0007,News Corporation,Communication Services,14275986432,426.0,0.0297095966849
NWSA,16.8333,2820126.0104,8.9615,0.9341,News Corporation,Communication Services,14261582848,427.0,0.02967962154633
GEN,23.0696,6132627.9657,1.1528,4.322,Gen Digital Inc.,Technology,14228570112,428.0,0.029610919108380002
MGM,31.7218,7980261.2371,11.5774,7.1739,MGM Resorts International,Consumer Cyclical,14164275200,429.0,0.02947711568166
FOX,31.4991,1368616.8436,-3.3722,-3.3314,Fox Corporation,Communication Services,14085847040,430.0,0.029313899709620003
FOXA,33.7827,3920719.7137,-3.4338,-5.6735,Fox Corporation,Communication Services,14056593408,431.0,0.029253020301219998
VTRS,26.6226,7812405.0802,-14.9981,5.2354,Viatris Inc.,Healthcare,13906445312,432.0,0.02894054876755
UAL,56.9197,9615177.9521,-0.912,107.3717,"United Airlines Holdings, Inc.",Industrials,13898460160,433.0,0.02892393095648
BEN,32.5448,3196892.6595,-3.745,6.5755,"Franklin Resources, Inc.",Financial Services,13848475648,434.0,0.028819908744130002
KEY,16.3803,12202826.0428,3.615,9.0053,KeyCorp,Financial Services,13763684352,435.0,0.028643450520490003
PNR,49.9599,1559298.776,8.9335,-1.3877,Pentair plc,Industrials,13688018944,436.0,0.02848598408093
LKQ,38.6926,1969846.9319,7.9281,0.8022,LKQ Corporation,Consumer Cyclical,13468986368,437.0,0.02803015782158
RVTY,97.2258,767554.9265,10.6516,1.3156,"Revvity, Inc.",Healthcare,13328348160,438.0,0.02773747721012
DOC,28.6606,4222999.2237,-6.0741,10.9094,"Healthpeak Properties, Inc.",Real Estate,13254898688,439.0,0.02758462233033
UDR,40.2654,1959227.8926,1.9768,8.2146,"UDR, Inc.",Real Estate,13238447104,440.0,0.02755038512173
IP,43.3309,3279083.8157,-0.8059,6.2074,International Paper Company,Consumer Cyclical,13235914752,441.0,0.02754511507213
AMCR,10.7191,4366152.4226,-0.5449,4639.8301,Amcor plc,Consumer Cyclical,13167047680,442.0,0.02740179657406
CPB,47.6464,2467614.8397,-0.1574,10.465,Campbell Soup Company,Consumer Defensive,13021139968,443.0,0.027098149656390003
CRL,172.1253,445451.8606,17.8259,3.6063,"Charles River Laboratories International, Inc.",Healthcare,12748407808,444.0,0.02653056978965
WRK,44.632,2118692.9718,1.5156,4.9624,WestRock Company,Consumer Cyclical,12617079808,445.0,0.026257264548570004
AOS,56.4823,1245341.149,11.8256,-1.0829,A. O. Smith Corporation,Industrials,12578298880,446.0,0.02617655799037
AES,16.8297,6089843.0689,5.6419,5.5305,The AES Corporation,Utilities,12567086080,447.0,0.026153223156919998
KMX,78.5836,1877050.6751,3.9501,4.066,"CarMax, Inc.",Consumer Cyclical,12523134976,448.0,0.0260617570029
LNT,46.6573,1482309.4289,5.8433,6.9139,Alliant Energy Corporation,Utilities,12480481280,449.0,0.025972990870259997
JKHY,136.358,470985.5305,11.3043,3.8182,"Jack Henry & Associates, Inc.",Technology,12421027840,450.0,0.025849262977099996
PODD,149.607,638126.0449,26.2039,7.2359,Insulet Corporation,Healthcare,12405518336,451.0,0.02581698632072
INCY,83.0768,1598354.8953,-3.2935,3.9257,Incyte Corporation,Healthcare,12348930048,452.0,0.02569922106354
NI,24.984,3686827.9643,5.225,1.408,NiSource Inc.,Utilities,12235532288,453.0,0.02546323024563
KIM,20.4677,4439662.8084,0.0886,9.4992,Kimco Realty Corporation,Real Estate,12114169856,454.0,0.025210664237349998
SJM,123.5347,1018603.9787,1.6408,5.4837,The J. M. Smucker Company,Consumer Defensive,12055223296,455.0,0.02508799120653
JNPR,27.7444,4362753.0572,3.9213,0.9584,"Juniper Networks, Inc.",Technology,11992366080,456.0,0.024957179752979997
EVRG,55.2982,1595135.2728,3.9374,18.2816,"Evergy, Inc.",Utilities,11872446464,457.0,0.024707616373029997
EMN,85.2641,1149967.1654,4.0296,-1.5555,Eastman Chemical Company,Basic Materials,11836741632,458.0,0.02463331144402
WYNN,106.8679,2936162.2824,2.5908,4.4507,"Wynn Resorts, Limited",Consumer Cyclical,11681863680,459.0,0.024310996659590002
IPG,26.0709,4106098.4576,6.7547,2.9565,"The Interpublic Group of Companies, Inc.",Communication Services,11619282944,460.0,0.02418076058549
DVA,83.8426,1235418.2245,6.8768,-0.2872,DaVita Inc.,Healthcare,11531082752,461.0,0.023997208146279998
LW,108.9107,1656310.0969,-0.1045,2.9132,"Lamb Weston Holdings, Inc.",Consumer Defensive,11529547776,462.0,0.023994013724779998
PAYC,198.2065,649455.822,27.8783,8.3371,"Paycom Software, Inc.",Technology,11498522624,463.0,0.0239294476258
UHS,128.9738,719657.7235,3.7186,-2.7457,"Universal Health Services, Inc.",Healthcare,11462300672,464.0,0.02385406652411
ALLE,96.7273,721203.36,9.0121,1.553,Allegion plc,Industrials,11305900032,465.0,0.023528582890609998
FFIV,151.7878,708142.4014,6.6548,-8.3587,"F5, Inc.",Technology,11239628800,466.0,0.023390666566299997
SOLV,234.0339,5941454.25,,,Solventum Corporation,Healthcare,11034377216,467.0,0.022963519776230002
QRVO,94.6883,1496401.8721,9.8011,-4.6666,"Qorvo, Inc.",Technology,10946668544,468.0,0.02278099023382
TECH,57.486,871386.9856,15.9588,4.2206,Bio-Techne Corporation,Healthcare,10926415872,469.0,0.02273884262323
HII,201.9235,346084.7631,10.2054,2.869,"Huntington Ingalls Industries, Inc.",Industrials,10898278400,470.0,0.022680286043
REG,63.0781,1002230.5903,0.9957,12.7533,Regency Centers Corporation,Real Estate,10846155776,471.0,0.022571814229539997
CPT,100.879,741141.5998,4.0474,9.7651,Camden Property Trust,Real Estate,10762315776,472.0,0.02239733573743
RL,112.725,1112062.2685,5.0822,1.3863,Ralph Lauren Corporation,Consumer Cyclical,10641694720,473.0,0.0221463125985
APA,37.2316,6448213.5944,0.2073,16.0925,APA Corporation,Energy,10569432064,474.0,0.0219959275883
MOS,32.2996,4940284.6162,4.6961,4.7814,The Mosaic Company,Basic Materials,10512796672,475.0,0.02187806430352
CTLT,56.0137,1413097.9847,12.3227,23.1288,"Catalent, Inc.",Healthcare,10305680384,476.0,0.021447036898679998
TFX,255.5685,298013.0705,9.2291,1.857,Teleflex Incorporated,Healthcare,10279366656,477.0,0.02139227569181
BBWI,42.3029,4793913.4358,7.6859,10.161,"Bath & Body Works, Inc.",Consumer Cyclical,10203576320,478.0,0.02123454926598
GL,88.8194,566301.7458,9.1788,4.8621,Globe Life Inc.,Financial Services,9867291648,479.0,0.02053471097291
DAY,67.0759,1200416.3216,10.9769,15.9076,Dayforce Inc,Technology,9682179072,480.0,0.02014947524854
BXP,107.295,1037227.4511,-5.7356,12.313,"Boston Properties, Inc.",Real Estate,9629485056,481.0,0.020039814317539997
TPR,36.5149,3986827.8358,7.9643,0.5751,"Tapestry, Inc.",Consumer Cyclical,9504926720,482.0,0.01978059734897
BIO,345.7057,182266.0794,13.8524,7.1035,"Bio-Rad Laboratories, Inc.",Healthcare,9358391296,483.0,0.01947564410683
HSIC,67.5154,1309502.0105,3.6098,0.9906,"Henry Schein, Inc.",Healthcare,9234441216,484.0,0.01921769297306
AIZ,119.5927,481630.9158,11.2851,-2.3572,"Assurant, Inc.",Financial Services,9225504768,485.0,0.01919909543046
CZR,41.6569,2168609.7156,31.667,68.5936,"Caesars Entertainment, Inc.",Consumer Cyclical,8976449536,486.0,0.01868078935541
MTCH,56.2476,3038597.0559,19.2359,15.7903,"Match Group, Inc.",Communication Services,8970361856,487.0,0.01866812035223
AAL,28.6251,24437681.5354,-9.1246,87.5336,American Airlines Group Inc.,Industrials,8780291072,488.0,0.0182725661563
MKTX,266.9026,299986.6818,16.2706,9.343,MarketAxess Holdings Inc.,Financial Services,8413824512,489.0,0.01750991667159
CHRW,84.2357,1427055.5171,2.2576,1.6868,"C.H. Robinson Worldwide, Inc.",Industrials,8332421120,490.0,0.0173405089773
FRT,119.065,532657.535,-2.3246,10.6827,Federal Realty Investment Trust,Real Estate,8328727040,491.0,0.01733282126847
GNRC,120.5238,820039.5648,27.3472,7.287,Generac Holdings Inc.,Industrials,8249058816,492.0,0.01716702461302
PNW,77.4441,941901.9177,1.8722,7.6258,Pinnacle West Capital Corporation,Utilities,8198815232,493.0,0.01706246324882
BWA,37.1613,2462653.1227,-1.3418,8.1749,BorgWarner Inc.,Consumer Cyclical,8044197888,494.0,0.01674069081281
ETSY,72.8935,2845399.7073,32.108,14.4029,"Etsy, Inc.",Consumer Cyclical,8020723712,495.0,0.01669183896605
HAS,80.994,1332594.6762,-1.9946,6.6148,"Hasbro, Inc.",Consumer Cyclical,7903605248,496.0,0.0164481050324
NCLH,35.7904,10835996.5393,-8.1687,171.8103,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,7832088576,497.0,0.016299272481219998
FMC,78.4813,1271950.5756,6.838,7.1743,FMC Corporation,Basic Materials,7766113792,498.0,0.01616197309155
RHI,66.1483,1073556.0474,7.3827,3.0301,Robert Half Inc.,Industrials,7677101056,499.0,0.01597672967604
MHK,158.2139,704362.6202,-1.0855,6.8509,"Mohawk Industries, Inc.",Consumer Cyclical,7642497024,500.0,0.01590471560968
PARA,39.9605,9821298.9254,-9.739,29.7347,Paramount Global,Communication Services,7343867904,501.0,0.01528324186733
IVZ,23.5312,4452106.0629,-3.6679,9.4728,Invesco Ltd.,Financial Services,7128867328,502.0,0.01483580655837
CMA,62.8418,1982524.7994,7.3934,6.7294,Comerica Incorporated,Financial Services,6808660992,503.0,0.01416942871164
